Genus,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
Escherichia,0.02097429,0.119756428,0.013193505,0.091001353,0.015223275,0.101488498,0.124154263,0.146820027,0.059878214,0.118064953,0.02435724,0.034167794,0.00744249,0.00744249,0.004397835,0.001691475,0.005751015,0.000338295,0.00067659,0.00067659,0.00067659,0,0.00744249,0.00067659,0.003721245,0.01217862,0.001014885,0.006427605,0.00067659,0,0.000338295,0.00135318,0,0.003044655,0.000338295,0.000338295,0,0.002368065,0.005751015,0.00067659,0.00270636,0.01759134,0.00067659,0.00405954,0.00338295,0.00541272,0.00135318,0.00135318,0.00135318,0.00879567,0.00067659,0.001014885,0.00338295,0.00135318,0,0.00067659,0.000338295,0.00135318
Shimwellia,0.019811321,0.103773585,0.016037736,0.10754717,0.009433962,0.119811321,0.112264151,0.135849057,0.067924528,0.116037736,0.027358491,0.036792453,0.006603774,0.013207547,0.006603774,0.003773585,0.002830189,0.000943396,0.000943396,0,0,0,0.00754717,0.001886792,0.002830189,0.009433962,0.002830189,0.011320755,0,0,0,0.000943396,0,0,0,0.000943396,0.001886792,0,0.008490566,0,0.000943396,0.013207547,0,0.003773585,0.005660377,0.000943396,0,0.001886792,0.003773585,0.003773585,0,0,0.003773585,0.001886792,0.000943396,0.000943396,0,0.002830189
Atlantibacter,0.020768432,0.116303219,0.009345794,0.102803738,0.013499481,0.101765317,0.136033229,0.142263759,0.061266874,0.111111111,0.018691589,0.021806854,0.004153686,0.008307373,0.003115265,0.002076843,0.004153686,0,0,0,0.002076843,0,0.009345794,0,0.003115265,0.013499481,0.001038422,0.010384216,0,0,0.001038422,0,0,0.005192108,0,0,0.001038422,0.003115265,0.008307373,0,0.002076843,0.011422638,0.002076843,0.007268951,0.012461059,0.004153686,0.002076843,0.002076843,0.003115265,0.007268951,0,0,0.004153686,0.003115265,0,0,0,0.003115265
Pseudescherichia,0.019937041,0.10703043,0.012591815,0.079748164,0.013641133,0.110178384,0.10703043,0.165792235,0.075550892,0.124868835,0.026232949,0.020986359,0.009443861,0.008394544,0.006295908,0.004197272,0.004197272,0,0,0.001049318,0,0,0.006295908,0.002098636,0.00524659,0.011542497,0.004197272,0.006295908,0.001049318,0,0,0.001049318,0,0.003147954,0,0,0,0.003147954,0.008394544,0.001049318,0.002098636,0.017838405,0,0.002098636,0.002098636,0.003147954,0.001049318,0.001049318,0,0.007345226,0.001049318,0.002098636,0.004197272,0,0,0.002098636,0.001049318,0.002098636
Hafnia,0.01656868,0.111704971,0.011758418,0.110636024,0.010689471,0.104222341,0.104756815,0.151256013,0.072153928,0.109032603,0.029396045,0.032602886,0.004810262,0.006948156,0.004810262,0.001068947,0.008017103,0,0.001603421,0.000534474,0.000534474,0.001068947,0.006413683,0.000534474,0.003206841,0.010689471,0.003206841,0.008017103,0,0,0,0.001068947,0.001068947,0.000534474,0.000534474,0.001068947,0.001603421,0.001603421,0.010689471,0,0.003206841,0.013896312,0.003741315,0.004275788,0.002672368,0.005344735,0.001068947,0.003741315,0.003741315,0.005879209,0,0.000534474,0.002137894,0.001068947,0,0.000534474,0.001068947,0.002672368
Raoultella,0.005854801,0.105971897,0.005269321,0.108313817,0.011124122,0.108313817,0.115925059,0.158665105,0.06557377,0.120608899,0.025761124,0.015222482,0.012880562,0.006440281,0.004683841,0.004683841,0.006440281,0,0.00058548,0,0.00175644,0.00117096,0.009367681,0,0.00234192,0.012880562,0.005854801,0.005854801,0.00058548,0,0.00058548,0.0029274,0,0.0029274,0.00058548,0,0.00117096,0.0029274,0.006440281,0.00234192,0.00175644,0.018735363,0.00234192,0.003512881,0.005269321,0.006440281,0.0029274,0.00058548,0.00058548,0.006440281,0,0.00117096,0.00234192,0.0029274,0,0,0,0.0029274
Kluyvera,0.011564212,0.102860621,0.007912355,0.097382836,0.011564212,0.096774194,0.126597687,0.158247109,0.071819842,0.121728545,0.02008521,0.018259282,0.007303713,0.009129641,0.00669507,0.006086427,0.00669507,0.001825928,0,0,0,0,0.009129641,0.000608643,0.005477785,0.009738284,0.001217285,0.010346926,0.000608643,0.001217285,0.000608643,0.002434571,0,0.001825928,0,0.000608643,0.001825928,0.001217285,0.004869142,0,0.002434571,0.02008521,0.000608643,0.003043214,0.00669507,0.006086427,0.001825928,0.001217285,0.003043214,0.009738284,0,0.002434571,0.003651856,0.000608643,0,0,0.000608643,0.003651856
Morganella,0.009276438,0.113790971,0.002473717,0.106369821,0.008039579,0.105751391,0.125541126,0.149659864,0.059369202,0.121212121,0.023500309,0.013605442,0.006802721,0.008039579,0.005565863,0.001855288,0.006184292,0.001236858,0.001236858,0.000618429,0,0.000618429,0.010513296,0,0.004947434,0.012987013,0.003710575,0.011750155,0,0.000618429,0,0.000618429,0.000618429,0.003092146,0.000618429,0.000618429,0.001236858,0.000618429,0.008039579,0.000618429,0.004329004,0.016697588,0.001236858,0.006802721,0.006184292,0.005565863,0.003710575,0.001236858,0.001855288,0.012368584,0.001236858,0.001236858,0.002473717,0.002473717,0,0,0,0.001236858
Proteus,0.009462366,0.106236559,0.007311828,0.086451613,0.018924731,0.11311828,0.119139785,0.16688172,0.067956989,0.107096774,0.021505376,0.017634409,0.009032258,0.008172043,0.005591398,0.00344086,0.010322581,0.000430108,0.001290323,0.000860215,0.001290323,0.00172043,0.006021505,0.00172043,0.003010753,0.013333333,0.004301075,0.006451613,0,0,0,0,0,0.00344086,0.000430108,0,0.000860215,0.003010753,0.009032258,0.00172043,0.004731183,0.017204301,0.001290323,0.004301075,0.004731183,0.007741935,0.00172043,0.000430108,0.001290323,0.009032258,0.000430108,0.000860215,0.001290323,0.000430108,0.000860215,0.001290323,0.00172043,0.00344086
Providencia,0.011396011,0.099081988,0.006964229,0.090534979,0.012345679,0.114593226,0.133586578,0.13421969,0.073124406,0.123773346,0.022475467,0.016777461,0.006647673,0.0107629,0.005698006,0.005064894,0.006964229,0.000633112,0.001899335,0,0.000633112,0.000316556,0.008547009,0.000316556,0.002532447,0.011079456,0.003482115,0.008230453,0.000316556,0.000316556,0,0.000949668,0,0.006647673,0.000316556,0.000316556,0.000316556,0.004748338,0.007280785,0.002532447,0.002849003,0.018360241,0.001899335,0.008230453,0.006014562,0.004431782,0.001266223,0.002215891,0.000949668,0.009813232,0.000316556,0.001266223,0.003165559,0.000633112,0.000316556,0.000633112,0.001266223,0.000949668
