Genus,OTUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
Rhodopila,1070,0.034965035,0.013986014,0.013986014,0.006993007,0.034965035,0.006993007,0.013986014,0.027972028,0,0.027972028,0.027972028,0.020979021,0.034965035,0.013986014,0.020979021,0.013986014,0.013986014,0,0,0.013986014,0,0,0.055944056,0,0.020979021,0.06993007,0.013986014,0.013986014,0,0,0,0.006993007,0,0.027972028,0,0,0,0,0.041958042,0,0.013986014,0.083916084,0.020979021,0.048951049,0.048951049,0.055944056,0.013986014,0,0.013986014,0.027972028,0.006993007,0,0.034965035,0.013986014,0,0,0,0.020979021
Rhodopseudomonas,1073,0.023809524,0.006493506,0.015151515,0.002164502,0.015151515,0.015151515,0.028138528,0.021645022,0.004329004,0.03030303,0.019480519,0.021645022,0.032467532,0.051948052,0.043290043,0.038961039,0.038961039,0,0.002164502,0.006493506,0.006493506,0.002164502,0.036796537,0,0.017316017,0.041125541,0.023809524,0.045454545,0.002164502,0,0.004329004,0.002164502,0,0.032467532,0,0.002164502,0,0.015151515,0.047619048,0.002164502,0.008658009,0.101731602,0.002164502,0.028138528,0.036796537,0.032467532,0.006493506,0.004329004,0.004329004,0.019480519,0.004329004,0.004329004,0.012987013,0.006493506,0,0.008658009,0.004329004,0.015151515
Rhodoblastus,1074,0.014705882,0,0.014705882,0.022058824,0.051470588,0.007352941,0.022058824,0.014705882,0.007352941,0.007352941,0.007352941,0.036764706,0.066176471,0.036764706,0.044117647,0.014705882,0.029411765,0,0.014705882,0.014705882,0,0,0.051470588,0,0.014705882,0.044117647,0.014705882,0.029411765,0,0,0.007352941,0,0,0.044117647,0.007352941,0,0,0,0.007352941,0,0.007352941,0.102941176,0.007352941,0.022058824,0.014705882,0.051470588,0.014705882,0.007352941,0.007352941,0.036764706,0,0.014705882,0.007352941,0.007352941,0.029411765,0,0,0.022058824
Blastochloris,1079,0.006451613,0.012903226,0.025806452,0.012903226,0.006451613,0.012903226,0,0.025806452,0.006451613,0.012903226,0.025806452,0.032258065,0.038709677,0.032258065,0.038709677,0.006451613,0.04516129,0.006451613,0,0,0.012903226,0.012903226,0.025806452,0.006451613,0.025806452,0.04516129,0.038709677,0.025806452,0,0,0,0,0,0.019354839,0,0,0.006451613,0.032258065,0.025806452,0,0.025806452,0.116129032,0.012903226,0.012903226,0.012903226,0.077419355,0.006451613,0,0.019354839,0.032258065,0,0,0.019354839,0.012903226,0,0.006451613,0,0.019354839
Afifella,1080,0.051470588,0.007352941,0.014705882,0.014705882,0.007352941,0.007352941,0.014705882,0.022058824,0.007352941,0.044117647,0.051470588,0.022058824,0.036764706,0.044117647,0.029411765,0.036764706,0.044117647,0,0,0,0.007352941,0,0.029411765,0.007352941,0.022058824,0.022058824,0.007352941,0.022058824,0,0,0,0,0,0.029411765,0,0,0,0.014705882,0.022058824,0,0,0.110294118,0,0.022058824,0.058823529,0.051470588,0.007352941,0.007352941,0.014705882,0.022058824,0,0.022058824,0.007352941,0.022058824,0,0,0.007352941,0.007352941
Rhodospirillum,1081,0.020833333,0,0.006944444,0.006944444,0.020833333,0.027777778,0,0.020833333,0.013888889,0.013888889,0.013888889,0.027777778,0.034722222,0.006944444,0.048611111,0.020833333,0.034722222,0.006944444,0.013888889,0.006944444,0,0,0.0625,0.006944444,0.048611111,0.048611111,0.027777778,0.020833333,0.006944444,0,0.006944444,0.006944444,0.006944444,0.027777778,0.006944444,0,0.013888889,0.006944444,0.034722222,0,0.006944444,0.097222222,0,0.041666667,0.027777778,0.041666667,0.006944444,0.013888889,0.006944444,0.041666667,0,0,0.006944444,0.006944444,0,0.006944444,0.013888889,0
Pararhodospirillum,1084,0.025316456,0.018987342,0.012658228,0.006329114,0.03164557,0.012658228,0.006329114,0.018987342,0.006329114,0.018987342,0.025316456,0.025316456,0.044303797,0.037974684,0.044303797,0.012658228,0.037974684,0,0,0.006329114,0.018987342,0.006329114,0.025316456,0,0.03164557,0.037974684,0.006329114,0.044303797,0,0,0,0.006329114,0,0.018987342,0,0.006329114,0,0.012658228,0.025316456,0,0.006329114,0.107594937,0.006329114,0.03164557,0.056962025,0.03164557,0,0.006329114,0.025316456,0.050632911,0,0.006329114,0.006329114,0,0.006329114,0.012658228,0,0.012658228
Rhodothalassium,1086,0.019607843,0.032679739,0.006535948,0.019607843,0.019607843,0.013071895,0.013071895,0.013071895,0.013071895,0.013071895,0.026143791,0.045751634,0.052287582,0.032679739,0.045751634,0.032679739,0.026143791,0,0.006535948,0.006535948,0.013071895,0,0.052287582,0,0.019607843,0.052287582,0.006535948,0.032679739,0,0,0,0,0,0.013071895,0,0,0.006535948,0.026143791,0.026143791,0,0.006535948,0.071895425,0.006535948,0.032679739,0.019607843,0.045751634,0.006535948,0.006535948,0.019607843,0.039215686,0,0.006535948,0.019607843,0.006535948,0,0,0,0.026143791
Rhodovibrio,1087,0.027874564,0.006968641,0.017421603,0.006968641,0.034843206,0.003484321,0.010452962,0.003484321,0.006968641,0.020905923,0.020905923,0.031358885,0.045296167,0.024390244,0.017421603,0.013937282,0.031358885,0.003484321,0.010452962,0.003484321,0,0,0.024390244,0.017421603,0.006968641,0.06271777,0.024390244,0.045296167,0,0,0,0.006968641,0,0.031358885,0.003484321,0,0.003484321,0.020905923,0.027874564,0,0.010452962,0.108013937,0.010452962,0.045296167,0.034843206,0.069686411,0.013937282,0.003484321,0.010452962,0.020905923,0,0.006968641,0.010452962,0.010452962,0,0,0.010452962,0.017421603
Chlorobium,1095,0.030088496,0.007079646,0.007079646,0.012389381,0.026548673,0.014159292,0.017699115,0.005309735,0.007079646,0.017699115,0.017699115,0.047787611,0.049557522,0.044247788,0.051327434,0.026548673,0.047787611,0.001769912,0.007079646,0.001769912,0.008849558,0.007079646,0.031858407,0.005309735,0.008849558,0.054867257,0.014159292,0.026548673,0.005309735,0,0.001769912,0.003539823,0,0.021238938,0,0.003539823,0,0.010619469,0.031858407,0,0.010619469,0.061946903,0.005309735,0.044247788,0.026548673,0.051327434,0.005309735,0.005309735,0.010619469,0.037168142,0.001769912,0,0.015929204,0.015929204,0.003539823,0.005309735,0.008849558,0.014159292
